Family	Total	R1-15	R2-15	R1-18	R2-18
A1	40	10	10	10	10
A2	102	25	25	26	26
A3	77	20	19	19	19
A4	0	0	0	0	0
A5	44	11	11	11	11
B1	26	6	6	6	6
B2	27	7	7	7	7
B3	23	5	6	6	6
B4	0	0	0	0	0
B5	12	3	3	3	3
C6	0	0	0	0	0
C7	10	2	2	3	3
C8	19	5	5	5	4
C9	11	3	3	3	2
C10	14	3	3	4	4
D10	122	31	31	30	30
D6	128	32	32	32	32
D7	127	31	32	32	32
D8	237	60	60	60	57
D9	112	28	28	28	28
E11	236	60	60	60	56
E12	200	50	50	50	50
E13	240	60	60	60	60
E14	240	60	60	60	60
E15	240	60	60	60	60
F11	240	60	60	60	60
F12	240	60	60	60	60
F13	240	60	60	60	60
F14	240	60	60	60	60
F15	240	60	60	60	60
G16	164	41	41	41	41
G17	193	48	48	48	49
G18	240	60	60	60	60
G19	107	27	27	27	26
G20	163	40	42	41	40
H16	240	60	60	60	60
H17	215	54	54	54	53
H18	208	52	52	52	52
H19	160	40	40	40	40
H20	207	51	51	52	53
I21	240	60	60	60	60
I22	234	58	58	59	59
I23	240	60	60	60	60
I24	240	60	60	60	60
I25	240	60	60	60	60
J21	233	57	58	58	58
J22	148	37	37	37	37
J23	240	60	60	60	60
J24	139	35	35	35	34
J25	236	59	59	59	59
K26	144	36	36	36	36
K27	240	60	60	60	60
K28	240	60	60	60	60
K29	240	60	60	60	60
K30	240	60	60	60	60
L26	195	48	48	49	49
L27	114	29	29	28	28
L28	132	33	33	33	33
L29	140	36	36	35	35
L30	130	32	32	33	33
M31	138	35	35	34	34
M32	41	11	10	10	10
M33	44	11	11	11	11
M34	68	17	17	17	17
M35	114	29	29	28	28
N31	240	60	60	60	60
N32	160	40	40	40	40
N33	61	15	15	16	15
N34	133	33	33	33	34
O37	0	0	0	0	0
O38	0	0	0	0	0
O39	0	0	0	0	0
O40	0	0	0	0	0
P36	240	60	60	60	60
P38	137	34	34	34	35
P39	240	60	60	60	60
P40	240	60	60	60	60
Q36	2	1	1	0	0
Q41	190	47	47	48	48
Q42	168	42	42	42	42
Q43	180	45	45	45	45
Q44	176	44	44	44	44
Q45	240	60	60	60	60
R41	223	56	56	56	55
R42	198	50	50	49	49
R43	240	60	60	60	60
R44	160	40	40	40	40
R45	240	60	60	60	60
S4	76	19	19	19	19
S46	237	60	60	60	57
S47	240	60	60	60	60
S48	96	24	24	24	24
S49	85	22	22	22	23
T4	65	17	16	16	16
T46	107	27	27	27	26
T47	134	33	33	33	35
T48	25	7	6	6	6
T49	43	11	11	11	10
U51	109	48	48	48	49
U52	240	60	60	60	60
U53	240	60	60	60	60
U55	240	60	60	60	60
V51	8	2	2	2	2
V52	23	6	6	6	5
V53	25	6	6	6	5
V54	11	3	3	3	2
V55	15	3	4	4	4
W56	240	60	60	60	60
W57	240	60	60	60	60
W58	240	60	60	60	60
W59	240	60	60	60	60
W60	156	39	39	39	39
X56	169	42	42	43	42
X57	240	60	60	60	60
X58	240	60	60	60	60
X59	240	60	60	60	60
X60	240	60	60	60	60
Y61	240	60	60	60	60
Y62	240	60	60	60	60
Y63	221	56	55	55	55
Y64	240	60	60	60	60
Y65	240	60	60	60	60
Z61	169	43	42	42	42
Z62	102	26	26	25	25
Z63	94	23	23	24	24
Z64	101	25	25	25	26
Z65	104	26	26	26	26
