"Family"	"Count"	"Total"	"R1.15"	"R2.15"	"R1.18"	"R2.18"	"survival"
"A2"	7	102	25	25	26	26	0.0686274509803922
"A5"	1	44	11	11	11	11	0.0227272727272727
"B1"	2	26	6	6	6	6	0.0769230769230769
"B2"	8	27	7	7	7	7	0.296296296296296
"B4"	1	0	0	0	0	0	Inf
"B5"	1	12	3	3	3	3	0.0833333333333333
"C10"	1	14	3	3	4	4	0.0714285714285714
"C7"	1	10	2	2	3	3	0.1
"C8"	2	19	5	5	5	4	0.105263157894737
"C9"	1	11	3	3	3	2	0.0909090909090909
"D10"	19	122	31	31	30	30	0.155737704918033
"D6"	16	128	32	32	32	32	0.125
"D7"	11	127	31	32	32	32	0.0866141732283465
"D8"	16	237	60	60	60	57	0.0675105485232067
"D9"	13	112	28	28	28	28	0.116071428571429
"E11"	28	236	60	60	60	56	0.11864406779661
"E12"	7	200	50	50	50	50	0.035
"E13"	23	240	60	60	60	60	0.0958333333333333
"E14"	44	240	60	60	60	60	0.183333333333333
"E15"	42	240	60	60	60	60	0.175
"F11"	35	240	60	60	60	60	0.145833333333333
"F12"	11	240	60	60	60	60	0.0458333333333333
"F13"	50	240	60	60	60	60	0.208333333333333
"F14"	48	240	60	60	60	60	0.2
"F15"	40	240	60	60	60	60	0.166666666666667
"G16"	35	164	41	41	41	41	0.213414634146341
"G17"	57	193	48	48	48	49	0.295336787564767
"G18"	25	240	60	60	60	60	0.104166666666667
"G19"	7	107	27	27	27	26	0.0654205607476635
"G20"	20	163	40	42	41	40	0.122699386503067
"H16"	55	240	60	60	60	60	0.229166666666667
"H17"	37	215	54	54	54	53	0.172093023255814
"H18"	13	208	52	52	52	52	0.0625
"H19"	22	160	40	40	40	40	0.1375
"H20"	21	207	51	51	52	53	0.101449275362319
"I21"	25	240	60	60	60	60	0.104166666666667
"I22"	35	234	58	58	59	59	0.14957264957265
"I23"	37	240	60	60	60	60	0.154166666666667
"I24"	18	240	60	60	60	60	0.075
"I25"	21	240	60	60	60	60	0.0875
"J21"	37	233	57	58	58	58	0.158798283261803
"J22"	31	148	37	37	37	37	0.209459459459459
"J23"	69	240	60	60	60	60	0.2875
"J24"	18	139	35	35	35	34	0.129496402877698
"J25"	25	236	59	59	59	59	0.105932203389831
"K26"	22	144	36	36	36	36	0.152777777777778
"K28"	58	240	60	60	60	60	0.241666666666667
"K29"	39	240	60	60	60	60	0.1625
"K30"	33	240	60	60	60	60	0.1375
"L26"	39	195	48	48	49	49	0.2
"L28"	30	132	33	33	33	33	0.227272727272727
"L29"	11	140	36	36	35	35	0.0785714285714286
"L30"	16	130	32	32	33	33	0.123076923076923
"M32"	7	41	11	10	10	10	0.170731707317073
"M33"	10	44	11	11	11	11	0.227272727272727
"M34"	10	68	17	17	17	17	0.147058823529412
"M35"	15	114	29	29	28	28	0.131578947368421
"N32"	11	160	40	40	40	40	0.06875
"N33"	7	61	15	15	16	15	0.114754098360656
"N34"	5	133	33	33	33	34	0.037593984962406
"O39"	31	0	0	0	0	0	Inf
"P36"	55	240	60	60	60	60	0.229166666666667
"P38"	31	137	34	34	34	35	0.226277372262774
"P39"	34	240	60	60	60	60	0.141666666666667
"P40"	38	240	60	60	60	60	0.158333333333333
"Q41"	35	190	47	47	48	48	0.184210526315789
"Q42"	29	168	42	42	42	42	0.172619047619048
"Q43"	43	180	45	45	45	45	0.238888888888889
"Q44"	39	176	44	44	44	44	0.221590909090909
"Q45"	31	240	60	60	60	60	0.129166666666667
"R41"	51	223	56	56	56	55	0.228699551569507
"R42"	47	198	50	50	49	49	0.237373737373737
"R43"	83	240	60	60	60	60	0.345833333333333
"R44"	26	160	40	40	40	40	0.1625
"R45"	42	240	60	60	60	60	0.175
"S4"	25	76	19	19	19	19	0.328947368421053
"S46"	12	237	60	60	60	57	0.0506329113924051
"S47"	53	240	60	60	60	60	0.220833333333333
"S48"	14	96	24	24	24	24	0.145833333333333
"S49"	14	85	22	22	22	23	0.164705882352941
"T4"	11	65	17	16	16	16	0.169230769230769
"T46"	8	107	27	27	27	26	0.0747663551401869
"T47"	33	134	33	33	33	35	0.246268656716418
"T48"	5	25	7	6	6	6	0.2
"T49"	7	43	11	11	11	10	0.162790697674419
"U51"	24	109	48	48	48	49	0.220183486238532
"U52"	24	240	60	60	60	60	0.1
"U53"	27	240	60	60	60	60	0.1125
"U54"	59	NA	NA	NA	NA	NA	NA
"U55"	16	240	60	60	60	60	0.0666666666666667
"X56"	31	169	42	42	43	42	0.183431952662722
"X58"	43	240	60	60	60	60	0.179166666666667
"X59"	45	240	60	60	60	60	0.1875
"X60"	47	240	60	60	60	60	0.195833333333333
"Y61"	36	240	60	60	60	60	0.15
"Y62"	37	240	60	60	60	60	0.154166666666667
"Y63"	26	221	56	55	55	55	0.117647058823529
"Y64"	43	240	60	60	60	60	0.179166666666667
"Y65"	50	240	60	60	60	60	0.208333333333333
"Z61"	19	169	43	42	42	42	0.112426035502959
"Z62"	11	102	26	26	25	25	0.107843137254902
"Z63"	12	94	23	23	24	24	0.127659574468085
"Z64"	11	101	25	25	25	26	0.108910891089109
"Z65"	12	104	26	26	26	26	0.115384615384615
