Family	Sire	Dam	Sire	Dam	Sire	Dam	DI	DI_assigned
A1	YG84	YS77	YG84_2	YS77_1	1	A	L	L
A2	OD42	YS77	OD42_2	YS77_1	2	A	L	L
A	YO94	YS77	YO94_2	YS77_1	3	A	L	L
A4	YO65	YS77	YO65_2	YS77_1	4	A	L	L
A5	YN58	YS77	YN58_2	YS77_1	5	A	L	L
B1	YG84	OS14	YG84_2	OS14_1	1	B	L	L
B2	OD42	OS14	OD42_2	OS14_1	2	B	L	L
B3	YO94	OS14	YO94_2	OS14_1	3	B	L	L
B4	YO65	OS14	YO65_2	OS14_1	4	B	L	L
B5	YN58	OS14	YN58_2	OS14_1	5	B	L	L
C6	YJ88	OC50	YJ88_2	OC50_1	6	C	L	L
C7	YT35	OC50	YT35_2	OC50_1	7	C	L	L
C8	YO99	OC50	YO99_2	OC50_1	8	C	L	L
C9	YG96	OC50	YG96_2	OC50_1	9	C	L	L
C10	OG59	OC50	OG59_2	OC50_1	10	C	L	L
D6	YJ88	YT86	YJ88_2	YT86_1	6	D	L	L
D7	YT35	YT86	YT35_2	YT86_1	7	D	L	L
D8	YO99	YT86	YO99_2	YT86_1	8	D	L	L
D9	YG96	YT86	YG96_2	YT86_1	9	D	L	L
D10	OG59	YT86	OG59_2	YT86_1	10	D	L	L
E11	YO96	YG81	YO96_2	YG81_1	11	E	L	L
E12	YN97	YG81	YN97_2	YG81_1	12	E	L	L
E12	YN91	YG81	YN91_2	YG81_1	12	E	L	L
E12	YN92	YG81	YN92_2	YG81_1	12	E	L	M
E13	YG97	YG81	YG97_2	YG81_1	13	E	L	L
E14	OC64	YG81	OC64_2	YG81_1	14	E	L	L
E15	OS12	YG81	OS12_2	YG81_1	15	E	L	L
F11	YO96	YJ60	YO96_2	YJ60_1	11	F	L	L
F12	YN97	YJ60	YN97_2	YJ60_1	12	F	L	L
F12	YN91	YJ60	YN91_2	YJ60_1	12	F	L	L
F12	YN92	YJ60	YN92_2	YJ60_1	12	F	L	M
F13	YG97	YJ60	YG97_2	YJ60_1	13	F	L	L
F14	OC64	YJ60	OC64_2	YJ60_1	14	F	L	L
F15	OS12	YJ60	OS12_2	YJ60_1	15	F	L	L
S46	OG58	OC52	OG58_2	OC52_1	46	S	L	L
S47	YG88	OC52	YG88_2	OC52_1	47	S	L	L
S48	YJ69	OC52	YJ69_2	OC52_1	48	S	L	L
S49	YO66	OC52	YO66_2	OC52_1	49	S	L	L
S4	YO65	OC52	YO65_2	OC52_1	4	S	L	L
T46	OG58	YX87	OG58_2	YX87_1	46	T	L	L
T47	YG88	YX87	YG88_2	YX87_1	47	T	L	M
T48	YJ69	YX87	YJ69_2	YX87_1	48	T	L	M
T49	YO66	YX87	YO66_2	YX87_1	49	T	L	M
T4	YO65	YX87	YO65_2	YX87_1	4	T	L	M
G16	YV94	OG13	YV94_2	OG13_1	16	G	M	M
G17	OH34	OG13	OH34_2	OG13_1	17	G	M	M
G18	YJ48	OG13	YJ48_2	OG13_1	18	G	M	M
G19	OJ16	OG13	OJ16_2	OG13_1	19	G	M	M
G20	YL69	OG13	YL69_2	OG13_1	20	G	M	M
H16	YV94	OF45	YV94_2	OF45_1	16	H	M	M
H17	OH34	OF45	OH34_2	OF45_1	17	H	M	M
H18	YJ48	OF45	YJ48_2	OF45_1	18	H	M	M
H19	OJ16	OF45	OJ16_2	OF45_1	19	H	M	M
H20	YL69	OF45	YL69_2	OF45_1	20	H	M	M
I21	OG35	YR31	OG35_2	YR31_1	21	I	M	M
I22	YN49	YR31	YN49_2	YR31_1	22	I	M	M
I23	YV93	YR31	YV93_2	YR31_1	23	I	M	M
I24	OD53	YR31	OD53_2	YR31_1	24	I	M	M
I25	YF88	YR31	YF88_2	YR31_1	25	I	M	M
J21	OG35	YS24	OG35_2	YS24_1	21	J	M	M
J22	YN49	YS24	YN49_2	YS24_1	22	J	M	M
J23	YV93	YS24	YV93_2	YS24_1	23	J	M	M
J24	OD53	YS24	OD53_2	YS24_1	24	J	M	M
J25	YF88	YS24	YF88_2	YS24_1	25	J	M	M
K26	YF30	YV88	YF30_2	YV88_1	26	K	M	M
K27	OB95	YV88	OB95_2	YV88_1	27	K	M	M
K28	YH28	YV88	YH28_2	YV88_1	28	K	M	M
K29	OG51	YV88	OG51_2	YV88_1	29	K	M	M
K30	OF56	YV88	OF56_2	YV88_1	30	K	M	M
L26	YF30	YX21	YF30_2	YX21_1	26	L	M	M
L27	OB95	YX21	OB95_2	YX21_1	27	L	M	M
L28	YH28	YX21	YH28_2	YX21_1	28	L	M	M
L29	OG51	YX21	OG51_2	YX21_1	29	L	M	M
L30	OF56	YX21	OF56_2	YX21_1	30	L	M	M
M31	YA26	YL85	YA26_2	YL85_1	31	M	H	H
M32	YA99	YL85	YA99_2	YL85_1	32	M	H	H
M33	OD51	YL85	OD51_2	YL85_1	33	M	H	H
M34	OG61	YL85	OG61_2	YL85_1	34	M	H	H
M35	YG95	YL85	YG95_2	YL85_1	35	M	H	H
N31	YA26	YN45	YA26_2	YN45_1	31	N	H	H
N31	YA99	YN45	YA99_2	YN45_1	32	N	H	H
N32	OD51	YN45	OD51_2	YN45_1	33	N	H	H
N33	OG61	YN45	OG61_2	YN45_1	34	N	H	H
N34	YG95	YN45	YG95_2	YN45_1	35	N	H	H
O36	YD22	OC05	YD22_2	OC05_1	36	O	H	H
O37	YC03	OC05	YC03_2	OC05_1	37	O	H	H
O38	OV17	OC05	OV17_2	OC05_1	38	O	H	H
O39	OH33	OC05	OH33_2	OC05_1	39	O	H	H
O40	YX56	OC05	YX56_2	OC05_1	40	O	H	H
P36	YD22	YP37	YD22_2	YP37_1	36	P	H	H
P37	YC03	YP37	YC03_2	YP37_1	37	P	H	H
P38	OV17	YP37	OV17_2	YP37_1	38	P	H	H
P39	OH33	YP37	OH33_2	YP37_1	39	P	H	H
P40	YX56	YP37	YX56_2	YP37_1	40	P	H	H
Q41	OL28	YK83	OL28_2	YK83_1	41	Q	H	H
Q42	OD43	YK83	OD43_2	YK83_1	42	Q	H	H
Q43	YD98	YK83	YD98_2	YK83_1	43	Q	H	H
Q44	YD53	YK83	YD53_2	YK83_1	44	Q	H	H
Q45	YI44	YK83	YI44_2	YK83_1	45	Q	H	H
R41	OL28	OF09	OL28_2	OF09_1	41	R	H	H
R42	OD43	OF09	OD43_2	OF09_1	42	R	H	H
R43	YD98	OF09	YD98_2	OF09_1	43	R	H	H
R44	YD53	OF09	YD53_2	OF09_1	44	R	H	H
R45	YI44	OF09	YI44_2	OF09_1	45	R	H	H
U51	OG53	YK96	OG53_2	YK96_1	51	U	Mix	H
U52	OS02	YK96	OS02_2	YK96_1	52	U	Mix	M
U53	YR54	YK96	YR54_2	YK96_1	53	U	Mix	M
U54	OD19	YK96	OD19_2	YK96_1	54	U	Mix	H
U55	OJ25	YK96	OJ25_2	YK96_1	55	U	Mix	M
V51	OG53	OF45	OG53_2	OF45_1	51	H	Mix	H
V52	OS02	OF45	OS02_2	OF45_1	52	H	Mix	M
V53	YR54	OF45	YR54_2	OF45_1	53	H	Mix	M
V54	OD19	OF45	OD19_2	OF45_1	54	H	Mix	H
V55	OJ25	OF45	OJ25_2	OF45_1	55	H	Mix	M
W56	YR82	OJ52	YR82_2	OJ52_1	56	W	Mix	M
W57	OH58	OJ52	OH58_2	OJ52_1	57	W	Mix	H
W58	OO53	OJ52	OO53_2	OJ52_1	58	W	Mix	H
W59	YR84	OJ52	YR84_2	OJ52_1	59	W	Mix	M
W60	YG06	OJ52	YG06_2	OJ52_1	60	W	Mix	H
X56	YR82	YV27	YR82_2	YV27_1	56	X	Mix	M
X57	OH58	YV27	OH58_2	YV27_1	57	X	Mix	H
X58	OO53	YV27	OO53_2	YV27_1	58	X	Mix	H
X59	YR84	YV27	YR84_2	YV27_1	59	X	Mix	M
X60	YG06	YV27	YG06_2	YV27_1	60	X	Mix	H
Y61	OL26	OF06	OL26_2	OF06_1	61	Y	Mix	H
Y62	YS90	OF06	YS90_2	OF06_1	62	Y	Mix	M
Y63	YI06	OF06	YI06_2	OF06_1	63	Y	Mix	H
Y64	OF65	OF06	OF65_2	OF06_1	64	Y	Mix	H
Y65	YT79	OF06	YT79_2	OF06_1	65	Y	Mix	M
Z61	OL26	YG60	OL26_2	YG60_1	61	Z	Mix	M
Z62	YS90	YG60	YS90_2	YG60_1	62	Z	Mix	M
Z63	YI06	YG60	YI06_2	YG60_1	63	Z	Mix	H
Z64	OF65	YG60	OF65_2	YG60_1	64	Z	Mix	H
Z65	YT79	YG60	YT79_2	YG60_1	65	Z	Mix	M
