SampleName(Fish_ID)	PlateName	Well	Treatment	DI	Seq_ID
001A	DS_JG_01	B01	L-1-15	L	B01_plate01
001B	DS_JG_01	C01	L-1-15	L	C01_plate01
001F	DS_JG_01	D01	L-1-15	L	D01_plate01
001G	DS_JG_01	E01	L-1-15	L	E01_plate01
001J	DS_JG_01	F01	L-1-15	L	F01_plate01
002A	DS_JG_01	G01	L-1-18	L	G01_plate01
002C	DS_JG_01	H01	L-1-18	L	H01_plate01
002E	DS_JG_01	A02	L-1-18	L	A02_plate01
002G	DS_JG_01	B02	L-1-18	L	B02_plate01
002I	DS_JG_01	C02	L-1-18	L	C02_plate01
002J	DS_JG_01	D02	L-1-18	L	D02_plate01
001C	DS_JG_01	E02	L-2-15	L	E02_plate01
001D	DS_JG_01	F02	L-2-15	L	F02_plate01
001E	DS_JG_01	G02	L-2-15	L	G02_plate01
001H	DS_JG_01	H02	L-2-15	L	H02_plate01
001I	DS_JG_01	A03	L-2-15	L	A03_plate01
001K	DS_JG_01	B03	L-2-15	L	B03_plate01
002B	DS_JG_01	C03	L-2-18	L	C03_plate01
002D	DS_JG_01	D03	L-2-18	L	D03_plate01
002F	DS_JG_01	E03	L-2-18	L	E03_plate01
002H	DS_JG_01	F03	L-2-18	L	F03_plate01
002K	DS_JG_01	G03	L-2-18	L	G03_plate01
002M	DS_JG_01	H03	L-2-18	L	H03_plate01
003A	DS_JG_01	A04	M-1-15	M	A04_plate01
003B	DS_JG_01	B04	M-1-15	M	B04_plate01
003C	DS_JG_01	C04	M-1-15	M	C04_plate01
003D	DS_JG_01	D04	M-1-15	M	D04_plate01
003E	DS_JG_01	E04	M-1-15	M	E04_plate01
003F	DS_JG_01	F04	M-1-15	M	F04_plate01
004A	DS_JG_01	G04	M-1-18	M	G04_plate01
004B	DS_JG_01	H04	M-1-18	M	H04_plate01
004C	DS_JG_01	A05	M-1-18	M	A05_plate01
004D	DS_JG_01	B05	M-1-18	M	B05_plate01
004E	DS_JG_01	C05	M-1-18	M	C05_plate01
004F	DS_JG_01	D05	M-1-18	M	D05_plate01
005A	DS_JG_01	E05	M-2-15	M	E05_plate01
005B	DS_JG_01	F05	M-2-15	M	F05_plate01
005C	DS_JG_01	G05	M-2-15	M	G05_plate01
005D	DS_JG_01	H05	M-2-15	M	H05_plate01
005E	DS_JG_01	A06	M-2-15	M	A06_plate01
005F	DS_JG_01	B06	M-2-15	M	B06_plate01
006A	DS_JG_01	C06	M-2-18	M	C06_plate01
006B	DS_JG_01	D06	M-2-18	M	D06_plate01
006C	DS_JG_01	E06	M-2-18	M	E06_plate01
006D	DS_JG_01	F06	M-2-18	M	F06_plate01
006E	DS_JG_01	G06	M-2-18	M	G06_plate01
006F	DS_JG_01	H06	M-2-18	M	H06_plate01
011A	DS_JG_01	A07	H-1-15	H	A07_plate01
011B	DS_JG_01	B07	H-1-15	H	B07_plate01
011C	DS_JG_01	C07	H-1-15	H	C07_plate01
011D	DS_JG_01	D07	H-1-15	H	D07_plate01
011E	DS_JG_01	E07	H-1-15	H	E07_plate01
011F	DS_JG_01	F07	H-1-15	H	F07_plate01
012A	DS_JG_01	G07	H-1-18	H	G07_plate01
012B	DS_JG_01	H07	H-1-18	H	H07_plate01
012C	DS_JG_01	A08	H-1-18	H	A08_plate01
012D	DS_JG_01	B08	H-1-18	H	B08_plate01
012E	DS_JG_01	C08	H-1-18	H	C08_plate01
012F	DS_JG_01	D08	H-1-18	H	D08_plate01
013A	DS_JG_01	E08	H-2-15	H	E08_plate01
013B	DS_JG_01	F08	H-2-15	H	F08_plate01
013C	DS_JG_01	G08	H-2-15	H	G08_plate01
013D	DS_JG_01	H08	H-2-15	H	H08_plate01
013E	DS_JG_01	A09	H-2-15	H	A09_plate01
013F	DS_JG_01	B09	H-2-15	H	B09_plate01
014A	DS_JG_01	C09	H-2-18	H	C09_plate01
014B	DS_JG_01	D09	H-2-18	H	D09_plate01
014C	DS_JG_01	E09	H-2-18	H	E09_plate01
014D	DS_JG_01	F09	H-2-18	H	F09_plate01
014E	DS_JG_01	G09	H-2-18	H	G09_plate01
014F	DS_JG_01	H09	H-2-18	H	H09_plate01
007A	DS_JG_01	A10	Mix-1-15	Mix	A10_plate01
