Seq_ID	Spawn_ID
A01_allLanes_P	YI44_2
B01_allLanes_P	YJ88_2
C01_allLanes_P	YA26_2
D01_allLanes_P	YD22_2
E01_allLanes_P	YH28_2
F01_allLanes_P	YD53_2
G01_allLanes_P	YF30_2
H01_allLanes_P	OC05_1
A02_allLanes_P	YG06_2
B02_allLanes_P	YX21_1
C02_allLanes_P	YJ48_2
D02_allLanes_P	YJ60_1
E02_allLanes_P	OD19_2
F02_allLanes_P	OG13_1
G02_allLanes_P	YA99_2
H02_allLanes_P	YD98_2
A03_allLanes_P	YG60_1
B03_allLanes_P	YK83_1
C03_allLanes_P	YJ69_2
D03_allLanes_P	YS24_1
E03_allLanes_P	YR31_1
F03_allLanes_P	YV27_1
G03_allLanes_P	YX56_2
H03_allLanes_P	YX87_1
A04_allLanes_P	OF06_1
B04_allLanes_P	OF09_1
C04_allLanes_P	OG35_2
D04_allLanes_P	OS02_2
E04_allLanes_P	OS12_2
F04_allLanes_P	OS14_1
G04_allLanes_P	YF88_2
H04_allLanes_P	YG81_1
A05_allLanes_P	YG84_2
B05_allLanes_P	YG88_2
C05_allLanes_P	YR54_2
D05_allLanes_P	YT35_2
E05_allLanes_P	YI06_2
F05_allLanes_P	YK96_1
G05_allLanes_P	YP37_1
H05_allLanes_P	YN45_1
A06_allLanes_P	YN49_2
B06_allLanes_P	YN58_2
C06_allLanes_P	OC50_1
D06_allLanes_P	OC52_1
E06_allLanes_P	OC64_2
F06_allLanes_P	OF45_1
G06_allLanes_P	OD42_2
H06_allLanes_P	OD43_2
A07_allLanes_P	OD51_2
B07_allLanes_P	OD53_2
C07_allLanes_P	OH33_2
D07_allLanes_P	OH34_2
E07_allLanes_P	OG51_2
F07_allLanes_P	OG53_2
G07_allLanes_P	OG58_2
H07_allLanes_P	OG59_2
A08_allLanes_P	OG61_2
B08_allLanes_P	OJ16_2
C08_allLanes_P	OJ25_2
D08_allLanes_P	OL26_2
E08_allLanes_P	OL28_2
F08_allLanes_P	YG96_2
G08_allLanes_P	OV17_2
H08_allLanes_P	YG95_2
A09_allLanes_P	YG97_2
B09_allLanes_P	YL69_2
C09_allLanes_P	YN97_1
D09_allLanes_P	YO65_2
E09_allLanes_P	YO66_2
F09_allLanes_P	YT79_2
G09_allLanes_P	OF56_2
H09_allLanes_P	YL85_1
A10_allLanes_P	OH58_2
B10_allLanes_P	YS77_1
C10_allLanes_P	YS90_2
D10_allLanes_P	YR82_2
E10_allLanes_P	YR84_2
F10_allLanes_P	YV94_2
G10_allLanes_P	OO53_2
H10_allLanes_P	YO94_2
A11_allLanes_P	YO96_2
B11_allLanes_P	YO99_2
C11_allLanes_P	YT86_1
D11_allLanes_P	YV88_1
E11_allLanes_P	YV93_2
F11_allLanes_P	OJ52_1
G11_allLanes_P	OB95_2
H11_allLanes_P	OF65_2
A12_allLanes_P	YN91_2
B12_allLanes_P	YN92_2
