Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
6	A03_allLanes_P	D08_allLanes_P	A11_plate03	008O	Mix-1-18	OL26_2	61	YG60_1	Z	Z61
11	A03_allLanes_P	H11_allLanes_P	A11_plate25	120W	Mix-1-18	OF65_2	64	YG60_1	Z	Z64
16	A03_allLanes_P	D08_allLanes_P	A12_plate24	091L	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
31	A03_allLanes_P	H11_allLanes_P	A12_plate01	009E	Mix-2-15	OF65_2	64	YG60_1	Z	Z64
36	A03_allLanes_P	C10_allLanes_P	A10_plate19	056D	Mix-1-15	YS90_2	62	YG60_1	Z	Z62
41	A03_allLanes_P	F09_allLanes_P	A12_plate03	009Q	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
66	A03_allLanes_P	H11_allLanes_P	A07_plate23	093B	H-1-15	OF65_2	64	YG60_1	Z	Z64
71	A03_allLanes_P	H11_allLanes_P	A11_plate11	040K	Mix-1-18	OF65_2	64	YG60_1	Z	Z64
96	A03_allLanes_P	D08_allLanes_P	A02_plate06	107K	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
131	A04_allLanes_P	C10_allLanes_P	A11_plate21	090L	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
141	A04_allLanes_P	C10_allLanes_P	A12_plate16	057P	Mix-2-15	YS90_2	62	OF06_1	Y	Y62
146	A04_allLanes_P	F09_allLanes_P	A10_plate07	023K	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
156	A04_allLanes_P	F09_allLanes_P	A11_plate12	040Q	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
161	A04_allLanes_P	H11_allLanes_P	A10_plate02	007G	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
166	A04_allLanes_P	F09_allLanes_P	A06_plate31	119D	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
176	A04_allLanes_P	H11_allLanes_P	A12_plate19	075H	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
191	A04_allLanes_P	F09_allLanes_P	A10_plate04	007S	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
196	A04_allLanes_P	D08_allLanes_P	A11_plate17	074T	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
201	A04_allLanes_P	E05_allLanes_P	A12_plate14	057E	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
216	A04_allLanes_P	C10_allLanes_P	A10_plate18	055X	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
221	A04_allLanes_P	F09_allLanes_P	A11_plate23	090X	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
226	A04_allLanes_P	F09_allLanes_P	A10_plate31	089V	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
236	A04_allLanes_P	C10_allLanes_P	A10_plate32	105B	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
241	A04_allLanes_P	C10_allLanes_P	A12_plate02	009K	Mix-2-15	YS90_2	62	OF06_1	Y	Y62
251	A04_allLanes_P	F09_allLanes_P	A12_plate10	041G	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
256	A04_allLanes_P	H11_allLanes_P	A10_plate21	056P	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
266	A04_allLanes_P	D08_allLanes_P	A10_plate03	007M	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
286	A04_allLanes_P	C10_allLanes_P	A10_plate10	039C	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
296	A04_allLanes_P	F09_allLanes_P	A12_plate05	025C	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
306	A04_allLanes_P	F09_allLanes_P	A12_plate04	009W	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
311	A04_allLanes_P	H11_allLanes_P	A11_plate04	008U	Mix-1-18	OF65_2	64	OF06_1	Y	Y64
326	A04_allLanes_P	F09_allLanes_P	A10_plate09	023W	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
331	A04_allLanes_P	H11_allLanes_P	A11_plate26	105P	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
356	A04_allLanes_P	F09_allLanes_P	A11_plate29	106K	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
366	A04_allLanes_P	F09_allLanes_P	A10_plate08	023Q	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
376	A04_allLanes_P	H11_allLanes_P	A12_plate13	041Y	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
386	A04_allLanes_P	H11_allLanes_P	A10_plate23	073B	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
411	B02_allLanes_P	G01_allLanes_P	A05_plate06	020F	M-1-18	YF30_2	26	YX21_1	L	L26
416	B02_allLanes_P	G01_allLanes_P	A06_plate14	053D	M-2-15	YF30_2	26	YX21_1	L	L26
426	B02_allLanes_P	G09_allLanes_P	B04_plate12	035O	M-1-15	OF56_2	30	YX21_1	L	L30
431	B02_allLanes_P	E01_allLanes_P	A05_plate28	086T	M-1-18	YH28_2	28	YX21_1	L	L28
436	B02_allLanes_P	E01_allLanes_P	A05_plate05	020A	M-1-18	YH28_2	28	YX21_1	L	L28
441	B02_allLanes_P	E01_allLanes_P	A06_plate06	021I	M-2-15	YH28_2	28	YX21_1	L	L28
446	B02_allLanes_P	G01_allLanes_P	A05_plate26	086H	M-1-18	YF30_2	26	YX21_1	L	L26
461	B02_allLanes_P	E01_allLanes_P	A05_plate25	086B	M-1-18	YH28_2	28	YX21_1	L	L28
466	B02_allLanes_P	G01_allLanes_P	A06_plate20	071A	M-2-15	YF30_2	26	YX21_1	L	L26
471	B02_allLanes_P	E01_allLanes_P	A05_plate08	020R	M-1-18	YH28_2	28	YX21_1	L	L28
476	B02_allLanes_P	E01_allLanes_P	A04_plate17	051R	M-1-15	YH28_2	28	YX21_1	L	L28
481	B02_allLanes_P	G01_allLanes_P	A06_plate08	021T	M-2-15	YF30_2	26	YX21_1	L	L26
491	B02_allLanes_P	G09_allLanes_P	A05_plate20	064L	M-1-18	OF56_2	30	YX21_1	L	L30
501	B02_allLanes_P	G01_allLanes_P	A06_plate24	071X	M-2-15	YF30_2	26	YX21_1	L	L26
536	B02_allLanes_P	G01_allLanes_P	A05_plate22	070J	M-1-18	YF30_2	26	YX21_1	L	L26
556	B02_allLanes_P	E01_allLanes_P	B04_plate01	003B	M-1-15	YH28_2	28	YX21_1	L	L28
571	B03_allLanes_P	A01_allLanes_P	A08_plate28	110G	H-1-18	YI44_2	45	YK83_1	Q	Q45
581	B03_allLanes_P	A01_allLanes_P	A08_plate05	028A	H-1-18	YI44_2	45	YK83_1	Q	Q45
591	B03_allLanes_P	A01_allLanes_P	A08_plate24	094J	H-1-18	YI44_2	45	YK83_1	Q	Q45
596	B03_allLanes_P	H06_allLanes_P	A07_plate25	093N	H-1-15	OD43_2	42	YK83_1	Q	Q42
601	B03_allLanes_P	A01_allLanes_P	A08_plate16	060N	H-1-18	YI44_2	45	YK83_1	Q	Q45
611	B03_allLanes_P	F01_allLanes_P	A09_plate15	061J	H-2-15	YD53_2	44	YK83_1	Q	Q44
616	B03_allLanes_P	E08_allLanes_P	A08_plate25	094P	H-1-18	OL28_2	41	YK83_1	Q	Q41
636	B03_allLanes_P	F01_allLanes_P	A08_plate18	060Z	H-1-18	YD53_2	44	YK83_1	Q	Q44
646	B03_allLanes_P	F01_allLanes_P	A08_plate21	078R	H-1-18	YD53_2	44	YK83_1	Q	Q44
651	B03_allLanes_P	F01_allLanes_P	A09_plate08	029U	H-2-15	YD53_2	44	YK83_1	Q	Q44
661	B03_allLanes_P	E08_allLanes_P	A09_plate24	095L	H-2-15	OL28_2	41	YK83_1	Q	Q41
671	B03_allLanes_P	E08_allLanes_P	A08_plate22	078X	H-1-18	OL28_2	41	YK83_1	Q	Q41
676	B03_allLanes_P	H02_allLanes_P	A09_plate19	079H	H-2-15	YD98_2	43	YK83_1	Q	Q43
681	B03_allLanes_P	H02_allLanes_P	A07_plate24	093H	H-1-15	YD98_2	43	YK83_1	Q	Q43
691	B03_allLanes_P	H06_allLanes_P	A07_plate02	011G	H-1-15	OD43_2	42	YK83_1	Q	Q42
706	B03_allLanes_P	H06_allLanes_P	A08_plate01	012C	H-1-18	OD43_2	42	YK83_1	Q	Q42
711	B03_allLanes_P	H06_allLanes_P	A08_plate27	110A	H-1-18	OD43_2	42	YK83_1	Q	Q42
721	B03_allLanes_P	H02_allLanes_P	A08_plate11	044J	H-1-18	YD98_2	43	YK83_1	Q	Q43
746	B03_allLanes_P	F01_allLanes_P	A08_plate03	012O	H-1-18	YD53_2	44	YK83_1	Q	Q44
756	B03_allLanes_P	F01_allLanes_P	A07_plate04	011S	H-1-15	YD53_2	44	YK83_1	Q	Q44
771	B04_allLanes_P	A01_allLanes_P	A08_plate15	060H	H-1-18	YI44_2	45	OF09_1	R	R45
776	B04_allLanes_P	H02_allLanes_P	A08_plate20	078L	H-1-18	YD98_2	43	OF09_1	R	R43
781	B04_allLanes_P	H02_allLanes_P	A08_plate32	118R	H-1-18	YD98_2	43	OF09_1	R	R43
786	B04_allLanes_P	E08_allLanes_P	A08_plate19	078F	H-1-18	OL28_2	41	OF09_1	R	R41
791	B04_allLanes_P	A01_allLanes_P	A09_plate07	029O	H-2-15	YI44_2	45	OF09_1	R	R45
811	B04_allLanes_P	H06_allLanes_P	A09_plate23	095F	H-2-15	OD43_2	42	OF09_1	R	R42
816	B04_allLanes_P	H02_allLanes_P	A07_plate20	077J	H-1-15	YD98_2	43	OF09_1	R	R43
821	B04_allLanes_P	H02_allLanes_P	A09_plate02	013K	H-2-15	YD98_2	43	OF09_1	R	R43
