Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
6	A03_allLanes_P	D08_allLanes_P	C02_plate06	120L	Mix-2-18	OL26_2	61	YG60_1	Z	Z61
11	A03_allLanes_P	C10_allLanes_P	B11_plate08	024T	Mix-1-18	YS90_2	62	YG60_1	Z	Z62
16	A03_allLanes_P	E05_allLanes_P	B11_plate07	024N	Mix-1-18	YI06_2	63	YG60_1	Z	Z63
21	A03_allLanes_P	C10_allLanes_P	B12_plate12	041T	Mix-2-15	YS90_2	62	YG60_1	Z	Z62
31	A03_allLanes_P	C10_allLanes_P	B11_plate20	090G	Mix-1-18	YS90_2	62	YG60_1	Z	Z62
36	A03_allLanes_P	F09_allLanes_P	B10_plate13	039U	Mix-1-15	YT79_2	65	YG60_1	Z	Z65
46	A03_allLanes_P	H11_allLanes_P	B12_plate26	091Y	Mix-2-15	OF65_2	64	YG60_1	Z	Z64
51	A03_allLanes_P	D08_allLanes_P	B12_plate02	009L	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
66	A03_allLanes_P	E05_allLanes_P	B06_plate30	106T	M-1-15	YI06_2	63	YG60_1	Z	Z63
76	A03_allLanes_P	D08_allLanes_P	B10_plate07	023L	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
81	A03_allLanes_P	F09_allLanes_P	B12_plate30	107W	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
121	A04_allLanes_P	C10_allLanes_P	B11_plate05	024B	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
126	A04_allLanes_P	E05_allLanes_P	B11_plate12	040R	Mix-1-18	YI06_2	63	OF06_1	Y	Y63
131	A04_allLanes_P	D08_allLanes_P	B11_plate28	106C	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
136	A04_allLanes_P	E05_allLanes_P	B12_plate21	075U	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
141	A04_allLanes_P	C10_allLanes_P	B11_plate19	090A	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
146	A04_allLanes_P	D08_allLanes_P	B10_plate06	023F	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
156	A04_allLanes_P	E05_allLanes_P	B10_plate31	089W	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
171	A04_allLanes_P	C10_allLanes_P	B10_plate09	023X	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
181	A04_allLanes_P	C10_allLanes_P	B11_plate31	119I	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
186	A04_allLanes_P	E05_allLanes_P	B12_plate07	025P	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
191	A04_allLanes_P	D08_allLanes_P	B10_plate18	055Y	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
206	A04_allLanes_P	F09_allLanes_P	B11_plate06	024H	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
226	A04_allLanes_P	H11_allLanes_P	B11_plate29	106L	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
246	A04_allLanes_P	D08_allLanes_P	B11_plate24	120R	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
251	A04_allLanes_P	E05_allLanes_P	B10_plate32	105C	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
261	A04_allLanes_P	H11_allLanes_P	B12_plate15	057K	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
266	A04_allLanes_P	D08_allLanes_P	B11_plate14	074C	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
271	A04_allLanes_P	H11_allLanes_P	B10_plate01	007B	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
291	A04_allLanes_P	H11_allLanes_P	B10_plate14	055A	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
311	A04_allLanes_P	E05_allLanes_P	B12_plate14	057F	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
321	A04_allLanes_P	H11_allLanes_P	B10_plate12	039P	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
326	A04_allLanes_P	E05_allLanes_P	B06_plate31	119E	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
331	A04_allLanes_P	F09_allLanes_P	B11_plate15	074I	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
356	A04_allLanes_P	H11_allLanes_P	B10_plate33	105I	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
366	A04_allLanes_P	F09_allLanes_P	B10_plate10	039D	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
381	B02_allLanes_P	G01_allLanes_P	C05_plate14	052D	M-1-18	YF30_2	26	YX21_1	L	L26
386	B02_allLanes_P	G01_allLanes_P	B04_plate24	069U	M-1-15	YF30_2	26	YX21_1	L	L26
391	B02_allLanes_P	E01_allLanes_P	C06_plate31	104G	M-2-18	YH28_2	28	YX21_1	L	L28
401	B02_allLanes_P	G01_allLanes_P	C06_plate25	072Z	M-2-18	YF30_2	26	YX21_1	L	L26
406	B02_allLanes_P	G01_allLanes_P	B05_plate01	004D	M-1-18	YF30_2	26	YX21_1	L	L26
416	B02_allLanes_P	E01_allLanes_P	C04_plate32	087R	M-1-15	YH28_2	28	YX21_1	L	L28
421	B02_allLanes_P	E01_allLanes_P	B05_plate32	102S	M-1-18	YH28_2	28	YX21_1	L	L28
426	B02_allLanes_P	G01_allLanes_P	C05_plate07	020N	M-1-18	YF30_2	26	YX21_1	L	L26
436	B02_allLanes_P	E07_allLanes_P	B06_plate22	071N	M-2-15	OG51_2	29	YX21_1	L	L29
446	B02_allLanes_P	E07_allLanes_P	C05_plate21	070G	M-1-18	OG51_2	29	YX21_1	L	L29
451	B02_allLanes_P	E07_allLanes_P	B06_plate21	071H	M-2-15	OG51_2	29	YX21_1	L	L29
476	B02_allLanes_P	E01_allLanes_P	C05_plate05	020C	M-1-18	YH28_2	28	YX21_1	L	L28
491	B02_allLanes_P	G09_allLanes_P	C04_plate22	069J	M-1-15	OF56_2	30	YX21_1	L	L30
501	B02_allLanes_P	E01_allLanes_P	C04_plate17	051T	M-1-15	YH28_2	28	YX21_1	L	L28
511	B02_allLanes_P	G09_allLanes_P	C05_plate27	086P	M-1-18	OF56_2	30	YX21_1	L	L30
521	B02_allLanes_P	E01_allLanes_P	C04_plate01	003C	M-1-15	YH28_2	28	YX21_1	L	L28
536	B02_allLanes_P	E01_allLanes_P	B05_plate21	070F	M-1-18	YH28_2	28	YX21_1	L	L28
561	B03_allLanes_P	H02_allLanes_P	B07_plate17	059S	H-1-15	YD98_2	43	YK83_1	Q	Q43
566	B03_allLanes_P	A01_allLanes_P	B08_plate01	012D	H-1-18	YI44_2	45	YK83_1	Q	Q45
571	B03_allLanes_P	H02_allLanes_P	B08_plate23	094E	H-1-18	YD98_2	43	YK83_1	Q	Q43
576	B03_allLanes_P	E08_allLanes_P	C08_plate04	012W	H-1-18	OL28_2	41	YK83_1	Q	Q41
586	B03_allLanes_P	E08_allLanes_P	C07_plate03	011O	H-1-15	OL28_2	41	YK83_1	Q	Q41
596	B03_allLanes_P	F01_allLanes_P	B09_plate25	095S	H-2-15	YD53_2	44	YK83_1	Q	Q44
601	B03_allLanes_P	H02_allLanes_P	B08_plate02	012J	H-1-18	YD98_2	43	YK83_1	Q	Q43
606	B03_allLanes_P	A01_allLanes_P	B07_plate10	043C	H-1-15	YI44_2	45	YK83_1	Q	Q45
611	B03_allLanes_P	A01_allLanes_P	B07_plate05	011Z	H-1-15	YI44_2	45	YK83_1	Q	Q45
626	B03_allLanes_P	F01_allLanes_P	B08_plate31	110Z	H-1-18	YD53_2	44	YK83_1	Q	Q44
631	B03_allLanes_P	H02_allLanes_P	B08_plate25	094Q	H-1-18	YD98_2	43	YK83_1	Q	Q43
636	B03_allLanes_P	H02_allLanes_P	B09_plate06	029J	H-2-15	YD98_2	43	YK83_1	Q	Q43
641	B03_allLanes_P	H02_allLanes_P	C07_plate25	093O	H-1-15	YD98_2	43	YK83_1	Q	Q43
646	B03_allLanes_P	H06_allLanes_P	C07_plate19	077F	H-1-15	OD43_2	42	YK83_1	Q	Q42
661	B03_allLanes_P	E08_allLanes_P	B08_plate13	044W	H-1-18	OL28_2	41	YK83_1	Q	Q41
671	B03_allLanes_P	H02_allLanes_P	B08_plate22	078Y	H-1-18	YD98_2	43	YK83_1	Q	Q43
686	B03_allLanes_P	H02_allLanes_P	B09_plate20	079O	H-2-15	YD98_2	43	YK83_1	Q	Q43
691	B03_allLanes_P	H02_allLanes_P	C07_plate09	027X	H-1-15	YD98_2	43	YK83_1	Q	Q43
701	B03_allLanes_P	H02_allLanes_P	B08_plate24	094K	H-1-18	YD98_2	43	YK83_1	Q	Q43
711	B03_allLanes_P	H02_allLanes_P	C07_plate05	027A	H-1-15	YD98_2	43	YK83_1	Q	Q43
726	B03_allLanes_P	F01_allLanes_P	C08_plate06	028I	H-1-18	YD53_2	44	YK83_1	Q	Q44
736	B03_allLanes_P	H02_allLanes_P	C07_plate26	093U	H-1-15	YD98_2	43	YK83_1	Q	Q43
756	B03_allLanes_P	H06_allLanes_P	B09_plate11	045M	H-2-15	OD43_2	42	YK83_1	Q	Q42
766	B03_allLanes_P	H06_allLanes_P	C07_plate29	109M	H-1-15	OD43_2	42	YK83_1	Q	Q42
791	B03_allLanes_P	F01_allLanes_P	B07_plate08	027R	H-1-15	YD53_2	44	YK83_1	Q	Q44
801	B03_allLanes_P	A01_allLanes_P	B09_plate23	095G	H-2-15	YI44_2	45	YK83_1	Q	Q45
811	B03_allLanes_P	H06_allLanes_P	B07_plate21	077Q	H-1-15	OD43_2	42	YK83_1	Q	Q42
831	B03_allLanes_P	H02_allLanes_P	C07_plate14	059B	H-1-15	YD98_2	43	YK83_1	Q	Q43
836	B03_allLanes_P	A01_allLanes_P	B08_plate04	012V	H-1-18	YI44_2	45	YK83_1	Q	Q45
841	B03_allLanes_P	F01_allLanes_P	B08_plate19	078G	H-1-18	YD53_2	44	YK83_1	Q	Q44
856	B03_allLanes_P	H06_allLanes_P	C07_plate23	093D	H-1-15	OD43_2	42	YK83_1	Q	Q42
