Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1	A03_allLanes_P	E05_allLanes_P	C11_plate19	090B	Mix-1-18	YI06_2	63	YG60_1	Z	Z63
6	A03_allLanes_P	H11_allLanes_P	D11_plate20	090I	Mix-1-18	OF65_2	64	YG60_1	Z	Z64
21	A03_allLanes_P	E05_allLanes_P	D10_plate26	073V	Mix-1-15	YI06_2	63	YG60_1	Z	Z63
26	A03_allLanes_P	E05_allLanes_P	C11_plate24	120S	Mix-1-18	YI06_2	63	YG60_1	Z	Z63
31	A03_allLanes_P	E05_allLanes_P	D11_plate07	024P	Mix-1-18	YI06_2	63	YG60_1	Z	Z63
36	A03_allLanes_P	D08_allLanes_P	C11_plate29	106M	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
41	A03_allLanes_P	H11_allLanes_P	C12_plate10	042C	Mix-2-18	OF65_2	64	YG60_1	Z	Z64
71	A03_allLanes_P	F09_allLanes_P	D11_plate14	074E	Mix-1-18	YT79_2	65	YG60_1	Z	Z65
106	A03_allLanes_P	H11_allLanes_P	D11_plate27	105Y	Mix-1-15	OF65_2	64	YG60_1	Z	Z64
126	A03_allLanes_P	F09_allLanes_P	C11_plate26	105R	Mix-1-15	YT79_2	65	YG60_1	Z	Z65
146	A03_allLanes_P	C10_allLanes_P	C12_plate26	092T	Mix-2-18	YS90_2	62	YG60_1	Z	Z62
161	A04_allLanes_P	D08_allLanes_P	C10_plate09	023Y	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
166	A04_allLanes_P	E05_allLanes_P	C10_plate31	089X	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
171	A04_allLanes_P	E05_allLanes_P	C10_plate18	055Z	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
176	A04_allLanes_P	E05_allLanes_P	D10_plate19	056G	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
181	A04_allLanes_P	D08_allLanes_P	D10_plate12	039R	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
186	A04_allLanes_P	F09_allLanes_P	D10_plate05	023B	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
191	A04_allLanes_P	H11_allLanes_P	D10_plate03	007P	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
196	A04_allLanes_P	E05_allLanes_P	C10_plate17	055T	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
216	A04_allLanes_P	C10_allLanes_P	C11_plate08	024U	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
241	A04_allLanes_P	C10_allLanes_P	C12_plate23	092B	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
246	A04_allLanes_P	C10_allLanes_P	D10_plate16	055O	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
261	A04_allLanes_P	C10_allLanes_P	D11_plate24	120T	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
266	A04_allLanes_P	C10_allLanes_P	D10_plate14	055C	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
271	A04_allLanes_P	C10_allLanes_P	C12_plate17	058R	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
276	A04_allLanes_P	C10_allLanes_P	D10_plate09	023Z	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
281	A04_allLanes_P	C10_allLanes_P	C11_plate17	074V	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
291	A04_allLanes_P	F09_allLanes_P	D10_plate15	055I	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
296	A04_allLanes_P	C10_allLanes_P	C12_plate06	026E	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
306	A04_allLanes_P	C10_allLanes_P	D11_plate17	074W	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
326	A04_allLanes_P	E05_allLanes_P	C12_plate09	026W	Mix-2-18	YI06_2	63	OF06_1	Y	Y63
331	A04_allLanes_P	F09_allLanes_P	D11_plate13	040Z	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
356	A04_allLanes_P	F09_allLanes_P	C12_plate20	076J	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
361	A04_allLanes_P	F09_allLanes_P	D10_plate13	039W	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
366	A04_allLanes_P	D08_allLanes_P	D10_plate25	073P	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
376	A04_allLanes_P	H11_allLanes_P	C10_plate10	039E	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
391	A04_allLanes_P	H11_allLanes_P	C11_plate27	105X	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
396	A04_allLanes_P	E05_allLanes_P	C10_plate25	073O	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
411	A04_allLanes_P	D08_allLanes_P	D11_plate01	008F	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
416	A04_allLanes_P	F09_allLanes_P	C12_plate04	010S	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
421	A04_allLanes_P	H11_allLanes_P	C10_plate06	023G	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
431	A04_allLanes_P	D08_allLanes_P	C11_plate01	008E	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
456	A04_allLanes_P	F09_allLanes_P	C12_plate31	108X	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
461	A04_allLanes_P	F09_allLanes_P	C10_plate33	105J	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
476	A04_allLanes_P	F09_allLanes_P	D10_plate04	007V	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
481	A04_allLanes_P	D08_allLanes_P	D10_plate10	039F	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
496	A04_allLanes_P	F09_allLanes_P	C12_plate22	076V	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
501	A04_allLanes_P	F09_allLanes_P	D10_plate11	039L	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
511	A04_allLanes_P	F09_allLanes_P	C10_plate13	039V	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
516	A04_allLanes_P	F09_allLanes_P	D11_plate03	008R	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
526	A04_allLanes_P	H11_allLanes_P	C12_plate19	076D	Mix-2-18	OF65_2	64	OF06_1	Y	Y64
541	A04_allLanes_P	F09_allLanes_P	C10_plate14	055B	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
551	A04_allLanes_P	H11_allLanes_P	C10_plate26	073U	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
586	A04_allLanes_P	H11_allLanes_P	D10_plate23	073E	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
596	A04_allLanes_P	H11_allLanes_P	C11_plate22	090T	Mix-1-18	OF65_2	64	OF06_1	Y	Y64
611	B02_allLanes_P	G01_allLanes_P	D04_plate32	087S	M-1-15	YF30_2	26	YX21_1	L	L26
616	B02_allLanes_P	G09_allLanes_P	D08_plate33	101T	M-1-15	OF56_2	30	YX21_1	L	L30
621	B02_allLanes_P	E07_allLanes_P	D04_plate15	051I	M-1-15	OG51_2	29	YX21_1	L	L29
626	B02_allLanes_P	G09_allLanes_P	D05_plate26	086K	M-1-18	OF56_2	30	YX21_1	L	L30
636	B02_allLanes_P	E01_allLanes_P	D04_plate03	003P	M-1-15	YH28_2	28	YX21_1	L	L28
641	B02_allLanes_P	G01_allLanes_P	D06_plate26	088G	M-2-18	YF30_2	26	YX21_1	L	L26
651	B02_allLanes_P	E01_allLanes_P	D04_plate25	085C	M-1-15	YH28_2	28	YX21_1	L	L28
661	B02_allLanes_P	G09_allLanes_P	D06_plate14	054A	M-2-18	OF56_2	30	YX21_1	L	L30
676	B02_allLanes_P	G01_allLanes_P	D06_plate16	054M	M-2-18	YF30_2	26	YX21_1	L	L26
706	B02_allLanes_P	E07_allLanes_P	D04_plate24	069W	M-1-15	OG51_2	29	YX21_1	L	L29
716	B02_allLanes_P	E07_allLanes_P	D06_plate19	064R	M-2-18	OG51_2	29	YX21_1	L	L29
726	B02_allLanes_P	G09_allLanes_P	D04_plate17	051U	M-1-15	OF56_2	30	YX21_1	L	L30
741	B03_allLanes_P	F01_allLanes_P	C08_plate22	078Z	H-1-18	YD53_2	44	YK83_1	Q	Q44
