Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
16	A03_allLanes_P	C10_allLanes_P	E12_plate28	108H	Mix-2-18	YS90_2	62	YG60_1	Z	Z62
21	A03_allLanes_P	D08_allLanes_P	E11_plate11	041I	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
26	A03_allLanes_P	E05_allLanes_P	E12_plate17	058T	Mix-2-18	YI06_2	63	YG60_1	Z	Z63
56	A03_allLanes_P	F09_allLanes_P	E10_plate21	056T	Mix-1-15	YT79_2	65	YG60_1	Z	Z65
66	A03_allLanes_P	H11_allLanes_P	D12_plate24	092I	Mix-2-18	OF65_2	64	YG60_1	Z	Z64
96	A04_allLanes_P	H11_allLanes_P	E10_plate16	055P	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
101	A04_allLanes_P	F09_allLanes_P	E10_plate25	073Q	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
106	A04_allLanes_P	E05_allLanes_P	E11_plate19	075D	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
111	A04_allLanes_P	D08_allLanes_P	E10_plate33	105L	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
116	A04_allLanes_P	D08_allLanes_P	E10_plate17	055V	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
136	A04_allLanes_P	D08_allLanes_P	E05_plate32	119N	MIX-1-15	OL26_2	61	OF06_1	Y	Y61
146	A04_allLanes_P	F09_allLanes_P	D12_plate19	076E	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
151	A04_allLanes_P	C10_allLanes_P	E11_plate02	009G	Mix-2-15	YS90_2	62	OF06_1	Y	Y62
161	A04_allLanes_P	F09_allLanes_P	E11_plate13	041U	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
171	A04_allLanes_P	D08_allLanes_P	E11_plate08	025Q	Mix-2-15	OL26_2	61	OF06_1	Y	Y61
176	A04_allLanes_P	D08_allLanes_P	D12_plate16	058M	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
181	A04_allLanes_P	D08_allLanes_P	E12_plate05	026A	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
