Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1	A03_allLanes_P	E05_allLanes_P	F12_plate02	010J	Mix-2-18	YI06_2	63	YG60_1	Z	Z63
6	A03_allLanes_P	D08_allLanes_P	F10_plate33	105M	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
11	A03_allLanes_P	D08_allLanes_P	F11_plate06	025F	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
26	A03_allLanes_P	D08_allLanes_P	F10_plate20	056O	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
31	A03_allLanes_P	D08_allLanes_P	F11_plate20	075K	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
41	A03_allLanes_P	C10_allLanes_P	F11_plate02	009H	Mix-2-15	YS90_2	62	YG60_1	Z	Z62
46	A03_allLanes_P	D08_allLanes_P	F10_plate13	039Y	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
51	A03_allLanes_P	D08_allLanes_P	F10_plate07	023P	Mix-1-15	OL26_2	61	YG60_1	Z	Z61
56	A03_allLanes_P	C10_allLanes_P	F10_plate23	073G	Mix-1-15	YS90_2	62	YG60_1	Z	Z62
61	A03_allLanes_P	C10_allLanes_P	F11_plate14	057B	Mix-2-15	YS90_2	62	YG60_1	Z	Z62
81	A03_allLanes_P	D08_allLanes_P	F12_plate03	010P	Mix-2-18	OL26_2	61	YG60_1	Z	Z61
101	A03_allLanes_P	E05_allLanes_P	F10_plate21	056U	Mix-1-15	YI06_2	63	YG60_1	Z	Z63
116	A03_allLanes_P	D08_allLanes_P	F11_plate17	057S	Mix-2-15	OL26_2	61	YG60_1	Z	Z61
136	A03_allLanes_P	H11_allLanes_P	F11_plate19	075E	Mix-2-15	OF65_2	64	YG60_1	Z	Z64
146	A03_allLanes_P	C10_allLanes_P	F12_plate23	092E	Mix-2-18	YS90_2	62	YG60_1	Z	Z62
171	A03_allLanes_P	F09_allLanes_P	F10_plate01	007F	Mix-1-15	YT79_2	65	YG60_1	Z	Z65
176	A03_allLanes_P	F09_allLanes_P	F11_plate07	025L	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
191	A04_allLanes_P	F09_allLanes_P	F10_plate29	089O	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
196	A04_allLanes_P	F09_allLanes_P	F12_plate13	042X	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
201	A04_allLanes_P	F09_allLanes_P	F10_plate25	073R	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
206	A04_allLanes_P	F09_allLanes_P	F11_plate04	009T	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
211	A04_allLanes_P	D08_allLanes_P	F10_plate12	039T	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
216	A04_allLanes_P	F09_allLanes_P	F11_plate18	057Y	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
221	A04_allLanes_P	C10_allLanes_P	F12_plate29	108O	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
226	A04_allLanes_P	F09_allLanes_P	F11_plate10	041D	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
231	A04_allLanes_P	E05_allLanes_P	F10_plate32	105G	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
236	A04_allLanes_P	D08_allLanes_P	F11_plate26	091U	Mix-2-15	OL26_2	61	OF06_1	Y	Y61
256	A04_allLanes_P	H11_allLanes_P	F10_plate14	055E	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
261	A04_allLanes_P	D08_allLanes_P	F12_plate25	092Q	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
296	A04_allLanes_P	H11_allLanes_P	F11_plate03	009M	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
306	A04_allLanes_P	F09_allLanes_P	F10_plate11	039N	Mix-1-15	YT79_2	65	OF06_1	Y	Y65
311	A04_allLanes_P	D08_allLanes_P	F12_plate06	026H	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
321	A04_allLanes_P	F09_allLanes_P	F12_plate16	058O	Mix-2-18	YT79_2	65	OF06_1	Y	Y65
331	A04_allLanes_P	H11_allLanes_P	F12_plate20	076M	Mix-2-18	OF65_2	64	OF06_1	Y	Y64
341	A04_allLanes_P	H11_allLanes_P	F12_plate08	026T	Mix-2-18	OF65_2	64	OF06_1	Y	Y64
346	A04_allLanes_P	C10_allLanes_P	F10_plate06	023J	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
356	A04_allLanes_P	D08_allLanes_P	F05_plate32	119O	MIX-1-15	OL26_2	61	OF06_1	Y	Y61
361	A04_allLanes_P	C10_allLanes_P	F10_plate02	007L	Mix-1-15	YS90_2	62	OF06_1	Y	Y62
366	A04_allLanes_P	H11_allLanes_P	G05_plate32	119P	MIX-1-15	OF65_2	64	OF06_1	Y	Y64
371	A04_allLanes_P	F09_allLanes_P	F11_plate15	057G	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
376	A04_allLanes_P	H11_allLanes_P	F11_plate05	009Z	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
386	A04_allLanes_P	D08_allLanes_P	F10_plate03	007R	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
446	B02_allLanes_P	E01_allLanes_P	F04_plate20	069B	M-1-15	YH28_2	28	YX21_1	L	L28
451	B02_allLanes_P	G01_allLanes_P	G06_plate05	022C	M-2-18	YF30_2	26	YX21_1	L	L26
456	B02_allLanes_P	G01_allLanes_P	F06_plate23	072R	M-2-18	YF30_2	26	YX21_1	L	L26
466	B02_allLanes_P	G01_allLanes_P	F04_plate06	019I	M-1-15	YF30_2	26	YX21_1	L	L26
471	B02_allLanes_P	G01_allLanes_P	G06_plate16	054P	M-2-18	YF30_2	26	YX21_1	L	L26
486	B02_allLanes_P	G01_allLanes_P	G04_plate07	020J	M-1-18	YF30_2	26	YX21_1	L	L26
496	B02_allLanes_P	G01_allLanes_P	G05_plate08	021R	M-2-15	YF30_2	26	YX21_1	L	L26
506	B02_allLanes_P	E01_allLanes_P	G06_plate26	088J	M-2-18	YH28_2	28	YX21_1	L	L28
511	B02_allLanes_P	E01_allLanes_P	F06_plate13	038W	M-2-18	YH28_2	28	YX21_1	L	L28
516	B02_allLanes_P	E07_allLanes_P	G06_plate22	072M	M-2-18	OG51_2	29	YX21_1	L	L29
526	B02_allLanes_P	E01_allLanes_P	F05_plate25	103A	M-2-15	YH28_2	28	YX21_1	L	L28
541	B02_allLanes_P	E01_allLanes_P	G05_plate24	071V	M-2-15	YH28_2	28	YX21_1	L	L28
546	B02_allLanes_P	E01_allLanes_P	F04_plate18	063C	M-1-15	YH28_2	28	YX21_1	L	L28
556	B02_allLanes_P	G01_allLanes_P	F04_plate23	069S	M-1-15	YF30_2	26	YX21_1	L	L26
561	B02_allLanes_P	G01_allLanes_P	F05_plate16	053M	M-2-15	YF30_2	26	YX21_1	L	L26
566	B02_allLanes_P	G09_allLanes_P	G06_plate12	038R	M-2-18	OF56_2	30	YX21_1	L	L30
591	B02_allLanes_P	G09_allLanes_P	G04_plate33	102V	M-1-18	OF56_2	30	YX21_1	L	L30
596	B02_allLanes_P	E07_allLanes_P	G05_plate06	021G	M-2-15	OG51_2	29	YX21_1	L	L29
606	B02_allLanes_P	G01_allLanes_P	G05_plate05	021A	M-2-15	YF30_2	26	YX21_1	L	L26
611	B02_allLanes_P	G09_allLanes_P	F04_plate13	035Y	M-1-15	OF56_2	30	YX21_1	L	L30
621	B02_allLanes_P	G01_allLanes_P	G06_plate28	088V	M-2-18	YF30_2	26	YX21_1	L	L26
641	B02_allLanes_P	E01_allLanes_P	G04_plate12	036N	M-1-18	YH28_2	28	YX21_1	L	L28
651	B02_allLanes_P	G01_allLanes_P	F04_plate10	035G	M-1-15	YF30_2	26	YX21_1	L	L26
656	B02_allLanes_P	G09_allLanes_P	G06_plate07	022O	M-2-18	OF56_2	30	YX21_1	L	L30
661	B02_allLanes_P	E01_allLanes_P	F04_plate17	051W	M-1-15	YH28_2	28	YX21_1	L	L28
676	B02_allLanes_P	G09_allLanes_P	F04_plate16	051Q	M-1-15	OF56_2	30	YX21_1	L	L30
696	B02_allLanes_P	G09_allLanes_P	F06_plate12	038Q	M-2-18	OF56_2	30	YX21_1	L	L30
741	B02_allLanes_P	E01_allLanes_P	G06_plate24	072X	M-2-18	YH28_2	28	YX21_1	L	L28
