Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
6	A03_allLanes_P	H11_allLanes_P	G12_plate19	076H	Mix-2-18	OF65_2	64	YG60_1	Z	Z64
11	A03_allLanes_P	E05_allLanes_P	G12_plate29	108P	Mix-2-18	YI06_2	63	YG60_1	Z	Z63
21	A03_allLanes_P	F09_allLanes_P	G12_plate08	026U	Mix-2-18	YT79_2	65	YG60_1	Z	Z65
26	A03_allLanes_P	D08_allLanes_P	G12_plate32	120D	Mix-2-18	OL26_2	61	YG60_1	Z	Z61
36	A03_allLanes_P	E05_allLanes_P	G12_plate23	092F	Mix-2-18	YI06_2	63	YG60_1	Z	Z63
51	A03_allLanes_P	D08_allLanes_P	G10_plate05	008Y	Mix-1-18	OL26_2	61	YG60_1	Z	Z61
56	A03_allLanes_P	F09_allLanes_P	G11_plate01	009C	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
81	A04_allLanes_P	D08_allLanes_P	G12_plate07	026O	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
86	A04_allLanes_P	H11_allLanes_P	G10_plate24	120O	Mix-1-18	OF65_2	64	OF06_1	Y	Y64
91	A04_allLanes_P	H11_allLanes_P	H10_plate10	040D	Mix-1-18	OF65_2	64	OF06_1	Y	Y64
101	A04_allLanes_P	E05_allLanes_P	G12_plate31	120B	Mix-2-18	YI06_2	63	OF06_1	Y	Y63
106	A04_allLanes_P	F09_allLanes_P	G11_plate16	057N	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
121	A04_allLanes_P	D08_allLanes_P	G10_plate28	105Z	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
126	A04_allLanes_P	H11_allLanes_P	G11_plate05	025A	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
131	A04_allLanes_P	F09_allLanes_P	G11_plate13	041W	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
141	A04_allLanes_P	E05_allLanes_P	H10_plate02	008H	Mix-1-18	YI06_2	63	OF06_1	Y	Y63
146	A04_allLanes_P	E05_allLanes_P	G12_plate14	058E	Mix-2-18	YI06_2	63	OF06_1	Y	Y63
151	A04_allLanes_P	H11_allLanes_P	G11_plate20	075L	Mix-2-15	OF65_2	64	OF06_1	Y	Y64
166	A04_allLanes_P	D08_allLanes_P	G10_plate12	040O	Mix-1-18	OL26_2	61	OF06_1	Y	Y61
171	A04_allLanes_P	H11_allLanes_P	G10_plate26	105N	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
176	A04_allLanes_P	C10_allLanes_P	H10_plate05	008Z	Mix-1-18	YS90_2	62	OF06_1	Y	Y62
196	A04_allLanes_P	C10_allLanes_P	G12_plate06	026I	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
206	A04_allLanes_P	C10_allLanes_P	G12_plate05	026C	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
216	A04_allLanes_P	D08_allLanes_P	G11_plate15	057H	Mix-2-15	OL26_2	61	OF06_1	Y	Y61
226	A04_allLanes_P	F09_allLanes_P	G11_plate19	075F	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
231	A04_allLanes_P	F09_allLanes_P	G11_plate17	057T	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
241	A04_allLanes_P	E05_allLanes_P	G12_plate04	010W	Mix-2-18	YI06_2	63	OF06_1	Y	Y63
246	A04_allLanes_P	F09_allLanes_P	G10_plate22	090P	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
256	A04_allLanes_P	C10_allLanes_P	G12_plate16	058P	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
261	A04_allLanes_P	E05_allLanes_P	H10_plate07	024L	Mix-1-18	YI06_2	63	OF06_1	Y	Y63
266	A04_allLanes_P	D08_allLanes_P	G12_plate13	042Y	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
271	A04_allLanes_P	E05_allLanes_P	G10_plate27	105T	Mix-1-15	YI06_2	63	OF06_1	Y	Y63
291	A04_allLanes_P	F09_allLanes_P	H05_plate32	119Q	MIX-1-15	YT79_2	65	OF06_1	Y	Y65
341	B02_allLanes_P	E01_allLanes_P	H05_plate12	037Q	M-2-15	YH28_2	28	YX21_1	L	L28
346	B02_allLanes_P	E07_allLanes_P	H05_plate09	021Y	M-2-15	OG51_2	29	YX21_1	L	L29
356	B02_allLanes_P	G09_allLanes_P	H05_plate15	053I	M-2-15	OF56_2	30	YX21_1	L	L30
361	B02_allLanes_P	E01_allLanes_P	H06_plate28	088W	M-2-18	YH28_2	28	YX21_1	L	L28
366	B02_allLanes_P	G01_allLanes_P	H06_plate13	038Y	M-2-18	YF30_2	26	YX21_1	L	L26
371	B02_allLanes_P	G01_allLanes_P	H06_plate31	104L	M-2-18	YF30_2	26	YX21_1	L	L26
376	B02_allLanes_P	E01_allLanes_P	H04_plate13	036U	M-1-18	YH28_2	28	YX21_1	L	L28
391	B02_allLanes_P	G01_allLanes_P	H04_plate25	086A	M-1-18	YF30_2	26	YX21_1	L	L26
401	B02_allLanes_P	G01_allLanes_P	H04_plate21	070D	M-1-18	YF30_2	26	YX21_1	L	L26
426	B02_allLanes_P	E07_allLanes_P	H06_plate24	072Y	M-2-18	OG51_2	29	YX21_1	L	L29
431	B02_allLanes_P	G01_allLanes_P	H06_plate22	072N	M-2-18	YF30_2	26	YX21_1	L	L26
441	B02_allLanes_P	G01_allLanes_P	H06_plate14	054E	M-2-18	YF30_2	26	YX21_1	L	L26
456	B02_allLanes_P	G01_allLanes_P	H09_plate33	101U	M-1-15	YF30_2	26	YX21_1	L	L26
481	B03_allLanes_P	A01_allLanes_P	H08_plate02	013J	H-2-15	YI44_2	45	YK83_1	Q	Q45
491	B03_allLanes_P	A01_allLanes_P	G07_plate20	078J	H-1-18	YI44_2	45	YK83_1	Q	Q45
501	B03_allLanes_P	E08_allLanes_P	G09_plate25	096R	H-2-18	OL28_2	41	YK83_1	Q	Q41
506	B03_allLanes_P	H02_allLanes_P	G09_plate28	112I	H-2-18	YD98_2	43	YK83_1	Q	Q43
516	B03_allLanes_P	A01_allLanes_P	G09_plate04	014W	H-2-18	YI44_2	45	YK83_1	Q	Q45
521	B03_allLanes_P	E08_allLanes_P	G07_plate17	060R	H-1-18	OL28_2	41	YK83_1	Q	Q41
526	B03_allLanes_P	H02_allLanes_P	G08_plate33	117W	H-2-15	YD98_2	43	YK83_1	Q	Q43
531	B03_allLanes_P	H06_allLanes_P	G08_plate20	079L	H-2-15	OD43_2	42	YK83_1	Q	Q42
541	B03_allLanes_P	H06_allLanes_P	H09_plate24	096M	H-2-18	OD43_2	42	YK83_1	Q	Q42
546	B03_allLanes_P	H02_allLanes_P	G08_plate31	111Y	H-2-15	YD98_2	43	YK83_1	Q	Q43
551	B03_allLanes_P	A01_allLanes_P	H09_plate22	096A	H-2-18	YI44_2	45	YK83_1	Q	Q45
561	B03_allLanes_P	A01_allLanes_P	G08_plate09	029Y	H-2-15	YI44_2	45	YK83_1	Q	Q45
571	B03_allLanes_P	A01_allLanes_P	G09_plate30	112U	H-2-18	YI44_2	45	YK83_1	Q	Q45
581	B03_allLanes_P	A01_allLanes_P	H07_plate03	012N	H-1-18	YI44_2	45	YK83_1	Q	Q45
591	B03_allLanes_P	E08_allLanes_P	H07_plate19	078E	H-1-18	OL28_2	41	YK83_1	Q	Q41
