Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1	A03_allLanes_P	C10_allLanes_P	H11_plate18	075A	Mix-2-15	YS90_2	62	YG60_1	Z	Z62
6	A03_allLanes_P	F09_allLanes_P	H11_plate30	107U	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
26	A03_allLanes_P	F09_allLanes_P	H11_plate01	009D	Mix-2-15	YT79_2	65	YG60_1	Z	Z65
31	A03_allLanes_P	D08_allLanes_P	H12_plate03	010R	Mix-2-18	OL26_2	61	YG60_1	Z	Z61
41	A03_allLanes_P	E05_allLanes_P	H11_plate02	009J	Mix-2-15	YI06_2	63	YG60_1	Z	Z63
71	A04_allLanes_P	C10_allLanes_P	H12_plate20	076O	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
76	A04_allLanes_P	C10_allLanes_P	H11_plate07	025N	Mix-2-15	YS90_2	62	OF06_1	Y	Y62
81	A04_allLanes_P	F09_allLanes_P	H10_plate23	090W	Mix-1-18	YT79_2	65	OF06_1	Y	Y65
91	A04_allLanes_P	H11_allLanes_P	H12_plate25	092S	Mix-2-18	OF65_2	64	OF06_1	Y	Y64
96	A04_allLanes_P	H11_allLanes_P	H10_plate28	106A	Mix-1-15	OF65_2	64	OF06_1	Y	Y64
101	A04_allLanes_P	F09_allLanes_P	H11_plate25	091Q	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
121	A04_allLanes_P	C10_allLanes_P	H12_plate15	058L	Mix-2-18	YS90_2	62	OF06_1	Y	Y62
126	A04_allLanes_P	E05_allLanes_P	H11_plate09	025Z	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
141	A04_allLanes_P	E05_allLanes_P	H11_plate03	009P	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
156	A04_allLanes_P	D08_allLanes_P	H12_plate31	120C	Mix-2-18	OL26_2	61	OF06_1	Y	Y61
161	A04_allLanes_P	E05_allLanes_P	H11_plate14	057D	Mix-2-15	YI06_2	63	OF06_1	Y	Y63
176	A04_allLanes_P	F09_allLanes_P	H11_plate04	009V	Mix-2-15	YT79_2	65	OF06_1	Y	Y65
186	A04_allLanes_P	D08_allLanes_P	H10_plate27	105U	Mix-1-15	OL26_2	61	OF06_1	Y	Y61
196	A04_allLanes_P	H11_allLanes_P	H12_plate24	092M	Mix-2-18	OF65_2	64	OF06_1	Y	Y64
221	B02_allLanes_P	E07_allLanes_P	H11_plate32	101D	M-1-15	OG51_2	29	YX21_1	L	L29
271	E03_allLanes_P	C04_allLanes_P	H12_plate30	108W	Mix-2-18	OG35_2	21	YR31_1	I	I21
276	E03_allLanes_P	E11_allLanes_P	H10_plate33	101W	M-1-15	YV93_2	23	YR31_1	I	I23
291	F03_allLanes_P	A02_allLanes_P	H10_plate13	040V	Mix-1-18	YG06_2	60	YV27_1	X	X60
311	F03_allLanes_P	A02_allLanes_P	H11_plate24	091K	Mix-2-15	YG06_2	60	YV27_1	X	X60
321	F03_allLanes_P	D10_allLanes_P	H12_plate16	058Q	Mix-2-18	YR82_2	56	YV27_1	X	X56
331	F03_allLanes_P	A02_allLanes_P	H10_plate19	074Y	Mix-1-18	YG06_2	60	YV27_1	X	X60
341	F03_allLanes_P	A02_allLanes_P	H11_plate06	025H	Mix-2-15	YG06_2	60	YV27_1	X	X60
351	F03_allLanes_P	A02_allLanes_P	H12_plate26	092Y	Mix-2-18	YG06_2	60	YV27_1	X	X60
361	F03_allLanes_P	A02_allLanes_P	H11_plate17	057U	Mix-2-15	YG06_2	60	YV27_1	X	X60
371	F03_allLanes_P	A02_allLanes_P	H12_plate17	058W	Mix-2-18	YG06_2	60	YV27_1	X	X60
381	F03_allLanes_P	G10_allLanes_P	H10_plate21	090K	Mix-1-18	OO53_2	58	YV27_1	X	X58
401	F03_allLanes_P	G10_allLanes_P	H12_plate09	042B	Mix-2-18	OO53_2	58	YV27_1	X	X58
411	F03_allLanes_P	G10_allLanes_P	H11_plate22	075Y	Mix-2-15	OO53_2	58	YV27_1	X	X58
421	F03_allLanes_P	G10_allLanes_P	H10_plate24	120P	Mix-1-18	OO53_2	58	YV27_1	X	X58
431	F03_allLanes_P	D10_allLanes_P	H10_plate31	119G	Mix-1-15	YR82_2	56	YV27_1	X	X56
436	F03_allLanes_P	D10_allLanes_P	H11_plate10	041F	Mix-2-15	YR82_2	56	YV27_1	X	X56
446	F03_allLanes_P	G10_allLanes_P	H12_plate04	010X	Mix-2-18	OO53_2	58	YV27_1	X	X58
451	F03_allLanes_P	G10_allLanes_P	H12_plate06	026J	Mix-2-18	OO53_2	58	YV27_1	X	X58
476	F03_allLanes_P	E10_allLanes_P	H12_plate28	108K	Mix-2-18	YR84_2	59	YV27_1	X	X59
511	F03_allLanes_P	G10_allLanes_P	H11_plate11	041L	Mix-2-15	OO53_2	58	YV27_1	X	X58
521	F03_allLanes_P	E10_allLanes_P	H12_plate01	010F	Mix-2-18	YR84_2	59	YV27_1	X	X59
541	F03_allLanes_P	G10_allLanes_P	H12_plate18	076C	Mix-2-18	OO53_2	58	YV27_1	X	X58
551	F03_allLanes_P	G10_allLanes_P	H11_plate13	041X	Mix-2-15	OO53_2	58	YV27_1	X	X58
561	F05_allLanes_P	D04_allLanes_P	H12_plate23	092G	Mix-2-18	OS02_2	52	YK96_1	U	U52
566	F05_allLanes_P	C08_allLanes_P	H12_plate02	010L	Mix-2-18	OJ25_2	55	YK96_1	U	U55
571	F05_allLanes_P	C05_allLanes_P	H12_plate13	042Z	Mix-2-18	YR54_2	53	YK96_1	U	U53
586	F05_allLanes_P	C05_allLanes_P	H10_plate20	090E	Mix-1-18	YR54_2	53	YK96_1	U	U53
596	F05_allLanes_P	E02_allLanes_P	H12_plate05	026D	Mix-2-18	OD19_2	54	YK96_1	U	U54
601	F05_allLanes_P	E02_allLanes_P	H11_plate21	075S	Mix-2-15	OD19_2	54	YK96_1	U	U54
606	F05_allLanes_P	C05_allLanes_P	H10_plate26	105O	Mix-1-15	YR54_2	53	YK96_1	U	U53
616	F05_allLanes_P	F07_allLanes_P	H12_plate29	108Q	Mix-2-18	OG53_2	51	YK96_1	U	U51
626	F05_allLanes_P	E02_allLanes_P	H12_plate12	042T	Mix-2-18	OD19_2	54	YK96_1	U	U54
631	F05_allLanes_P	C08_allLanes_P	H11_plate16	057O	Mix-2-15	OJ25_2	55	YK96_1	U	U55
651	F05_allLanes_P	E02_allLanes_P	H10_plate25	120V	Mix-1-18	OD19_2	54	YK96_1	U	U54
