animal	MOTHER	FATHER
A1	YV17	OL32
A2	YV17	OL23
A3	YV17	YL42
A4	YV17	YS95
A5	YV17	OG53
B1	YO04	OL32
B2	YO04	OL23
B3	YO04	YL42
B4	YO04	YS95
B5	YO04	OG53
C6	OF68	YJ46
C7	OF68	OK26
C8	OF68	YK98
C9	OF68	OL41
C10	OF68	YN97
D6	YK63	YJ46
D7	YK63	OK26
D8	YK63	YK98
D9	YK63	OL41
D10	YK63	YN97
E11	YP36	YI88
E12	YP36	OL47
E13	YP36	YK87
E14	YP36	YK86
E15	YP36	OK20
F11	YN90	YI88
F12	YN90	OL47
F13	YN90	YK87
F14	YN90	YK86
F15	YN90	OK20
G16	OA40	YD35
G17	OA40	YV40
G18	OA40	YV69
G19	OA40	OC15
G20	OA40	YX40
H16	YN63	YD35
H17	YN63	YV40
H18	YN63	YV69
H20	YN63	YV40
I16	YP22	YD35
I17	YP22	YV40
I18	YP22	YV69
I20	YP22	YV40
J21	YD75	YV92
J22	YD75	OB18
J23	YD75	OL61
J24	YD75	OC14
K21	YG27	YV92
K22	YG27	OB18
K23	YG27	OL61
L21	YJ26	YV92
L22	YJ26	OB18
L23	YJ26	OL61
S41	YO81	YK91
S42	YO81	YP72
S43	YO81	YP93
S44	YO81	YP92
S45	YO81	OB18
T41	YG86	YK91
T42	YG86	YP72
T43	YG86	YP93
T44	YG86	YP92
T45	YG86	OB18
M25	YP64	RZ65
M26	YP64	RZ22
M27	YP64	RZ58
M28	YP64	RZ21
M29	YP64	RZ76
N25	YL01	RZ65
N26	YL01	RZ22
N27	YL01	RZ58
N28	YL01	RZ21
N29	YL01	RZ76
O30	YN88	RZ30
O31	YN88	RZ61
O32	YN88	RZ18
O33	YN88	RZ63
O34	YN88	RZ27
P30	YO62	RZ30
P31	YO62	RZ61
P32	YO62	RZ18
P33	YO62	RZ63
P34	YO62	RZ27
Q35	YP91	RZ55
Q36	YP91	RZ63
Q37	YP91	RZ44
Q38	YP91	RZ00
Q40	YP91	RZ26
R36	YL58	RZ63
R37	YL58	RZ44
R38	YL58	RZ00
R39	YL58	RZ25
R40	YL58	RZ26
U46	OF89	OK29
U47	OF89	YC06
U48	OF89	OK23
U49	OF89	YF89
U50	OF89	YF87
V46	YV55	OK29
V47	YV55	YC06
V48	YV55	OK23
V49	YV55	YF89
V50	YV55	YF87
W51	OD28	YT91
W52	OD28	OF32
W53	OD28	OH51
W54	OD28	OH14
W55	OD28	OK28
X51	YP89	YT91
X52	YP89	OF32
X53	YP89	OH51
X54	YP89	OH14
X55	YP89	OK28
Y56	OF90	YF91
Y57	OF90	YC14
Y58	OF90	YT65
Y59	OF90	OF31
Y60	OF90	OH74
Z56	OD29	YF91
Z57	OD29	YC14
Z58	OD29	YT65
Z59	OD29	OF31
Z60	OD29	OH74
