animal	MOTHER	FATHER
130201	NA	NA
130761	NA	NA
132011	NA	NA
131491	NA	NA
130941	NA	NA
131971	NA	NA
131581	NA	NA
130691	NA	NA
131011	NA	NA
130951	NA	NA
131911	NA	NA
131111	NA	NA
131131	NA	NA
132021	NA	NA
130391	NA	NA
131861	NA	NA
130851	NA	NA
130841	NA	NA
130351	NA	NA
131991	NA	NA
130521	NA	NA
131151	NA	NA
131231	NA	NA
130181	NA	NA
130811	NA	NA
132051	NA	NA
130381	NA	NA
131221	NA	NA
130881	NA	NA
130191	NA	NA
130961	NA	NA
130741	NA	NA
131551	NA	NA
130591	NA	NA
130631	NA	NA
130221	NA	NA
130481	NA	NA
131611	NA	NA
131501	NA	NA
131351	NA	NA
131181	NA	NA
130651	NA	NA
131021	NA	NA
1	NA	NA
131441	NA	NA
131061	NA	NA
131981	NA	NA
131301	NA	NA
132121	NA	NA
130711	NA	NA
131071	NA	NA
131191	NA	NA
131201	NA	NA
130762	NA	NA
132012	NA	NA
131492	NA	NA
130942	NA	NA
131972	NA	NA
131582	NA	NA
130692	NA	NA
131012	NA	NA
130202	NA	NA
130952	NA	NA
131912	NA	NA
131112	NA	NA
131132	NA	NA
132022	NA	NA
130392	NA	NA
131862	NA	NA
130852	NA	NA
130842	NA	NA
130352	NA	NA
131992	NA	NA
130522	NA	NA
131152	NA	NA
131232	NA	NA
130182	NA	NA
130812	NA	NA
132052	NA	NA
130382	NA	NA
131222	NA	NA
130882	NA	NA
130192	NA	NA
130962	NA	NA
131002	NA	NA
131552	NA	NA
130592	NA	NA
130632	NA	NA
130222	NA	NA
130482	NA	NA
131612	NA	NA
131502	NA	NA
131352	NA	NA
131182	NA	NA
130652	NA	NA
131022	NA	NA
2	NA	NA
131442	NA	NA
131062	NA	NA
131982	NA	NA
131302	NA	NA
132122	NA	NA
130712	NA	NA
131072	NA	NA
131192	NA	NA
131202	NA	NA
YC06	130201	130202
YJ46	130761	130762
RZ55	NA	NA
OF68	132011	132012
YV17	131491	131492
YL58	130941	130942
OF90	131971	131972
OB18	131611	131612
YX40	131581	131582
OL61	130691	130692
YN97	131011	131012
YC14	130201	130202
RZ18	NA	NA
YL42	130951	130952
RZ58	NA	NA
YV40	131501	131502
YD75	130351	130352
OD28	131911	131912
YO81	131111	131112
YK63	130851	130852
OK20	130181	130182
YO04	131131	131132
RZ21	NA	NA
