animal	sire	dam
YG84_2	NA	NA
OD42_2	NA	NA
YO94_2	NA	NA
YN58_2	NA	NA
YJ88_2	NA	NA
YT35_2	NA	NA
YO99_2	NA	NA
YG96_2	NA	NA
OG59_2	NA	NA
YO96_2	NA	NA
YN97_2	NA	NA
YG97_2	NA	NA
OC64_2	NA	NA
OS12_2	NA	NA
OG58_2	NA	NA
YG88_2	NA	NA
YJ69_2	NA	NA
YO66_2	NA	NA
YO65_2	NA	NA
YV94_2	NA	NA
OH34_2	NA	NA
YJ48_2	NA	NA
OJ16_2	NA	NA
YL69_2	NA	NA
OG35_2	NA	NA
YN49_2	NA	NA
YV93_2	NA	NA
OD53_2	NA	NA
YF88_2	NA	NA
YF30_2	NA	NA
OB95_2	NA	NA
YH28_2	NA	NA
OG51_2	NA	NA
OF56_2	NA	NA
YA26_2	NA	NA
YA99_2	NA	NA
OD51_2	NA	NA
OG61_2	NA	NA
YG95_2	NA	NA
YD22_2	NA	NA
TC03_2	NA	NA
OV17_2	NA	NA
OH33_2	NA	NA
YX56_2	NA	NA
OL28_2	NA	NA
OD43_2	NA	NA
YD98_2	NA	NA
YD53_2	NA	NA
YI44_2	NA	NA
OG53_2	NA	NA
OS02_2	NA	NA
YR54_2	NA	NA
OD19_2	NA	NA
OJ25_2	NA	NA
YR82_2	NA	NA
OH58_2	NA	NA
OO53_2	NA	NA
YR84_2	NA	NA
YG06_2	NA	NA
OL26_2	NA	NA
YS90_2	NA	NA
YI06_2	NA	NA
OF65_2	NA	NA
YT79_2	NA	NA
YN92_2	NA	NA
YS77_1	NA	NA
OS14_1	NA	NA
OC50_1	NA	NA
YT86_1	NA	NA
YG81_1	NA	NA
YJ60_1	NA	NA
OC52_1	NA	NA
YX87_1	NA	NA
OG13_1	NA	NA
YR31_1	NA	NA
YS24_1	NA	NA
YV88_1	NA	NA
YX21_1	NA	NA
YL85_1	NA	NA
YN45_1	NA	NA
OC05_1	NA	NA
YP37_1	NA	NA
YK83_1	NA	NA
OF09_1	NA	NA
YK96_1	NA	NA
OF45_1	NA	NA
OJ52_1	NA	NA
YV27_1	NA	NA
OF06_1	NA	NA
YG60_1	NA	NA
001A	YO96_2	YJ60_1
001B	OS12_2	YG81_1
001C	YT35_2	YT86_1
001D	OS12_2	YG81_1
001E	YJ69_2	OC52_1
001F	YG97_2	YJ60_1
001G	YJ69_2	OC52_1
001H	OD19_2	YK96_1
001I	YJ48_2	OG13_1
001J	OH34_2	OG13_1
001K	OS12_2	YJ60_1
001L	OH34_2	OF45_1
001M	YT35_2	YT86_1
001N	YG88_2	OC52_1
001O	YO99_2	YT86_1
001P	YJ48_2	OG13_1
001Q	YO65_2	OC52_1
001R	YO96_2	YJ60_1
001S	OO53_2	YV27_1
001T	YO99_2	YT86_1
001U	YO66_2	OC52_1
001V	YG97_2	YJ60_1
001W	OC64_2	YG81_1
001X	OC64_2	YG81_1
001Y	OH34_2	OG13_1
001Z	YJ88_2	YT86_1
002A	YG97_2	YJ60_1
002B	OC64_2	YJ60_1
002C	YO65_2	YX87_1
002D	YG88_2	YX87_1
002E	YO96_2	YJ60_1
002F	OH34_2	OF45_1
002G	YO99_2	YT86_1
002H	YG88_2	OC52_1
002I	OC64_2	YJ60_1
002J	OH34_2	OG13_1
002K	OG59_2	YT86_1
002L	YO96_2	YG81_1
002M	YO96_2	YG81_1
002N	YG84_2	OS14_1
002O	OC64_2	YJ60_1
002P	OG58_2	OC52_1
002Q	OG58_2	YX87_1
002R	YG97_2	YJ60_1
002S	YG97_2	YJ60_1
002T	OH34_2	OG13_1
002U	YO96_2	YG81_1
002V	YG88_2	OC52_1
002W	YG88_2	OC52_1
002X	OH34_2	OF45_1
002Y	YO65_2	OC52_1
002Z	YO65_2	YX87_1
003A	YV94_2	OG13_1
003B	YH28_2	YX21_1
003C	YH28_2	YX21_1
003D	OG35_2	YS24_1
003E	YV93_2	YS24_1
003F	YF88_2	YR31_1
003G	YV94_2	OF45_1
003H	OJ16_2	OF45_1
003I	YV93_2	YS24_1
003J	YV93_2	YS24_1
003K	OG35_2	YS24_1
003L	OJ16_2	OG13_1
003M	OG51_2	YV88_1
003N	OG35_2	YS24_1
003O	YF30_2	YV88_1
003P	YH28_2	YX21_1
003R	OD53_2	YR31_1
003S	OJ16_2	OF45_1
